coefficients,signature,discriminant,type_I,2-monogen,number
"[1, -7, -6, -8, -6]","[1, 1]",-2686028,False,True,2
"[1, -7, -6, -6, 2]","[1, 1]",-1521004,False,True,2
"[1, -7, -5, -5, -6]","[1, 1]",-2949068,False,True,2
"[1, -7, -5, 8, -7]","[1, 1]",-5898119,False,True,2
"[1, -7, -4, -6, -6]","[1, 1]",-2872236,False,True,2
"[1, -7, -4, -6, 2]","[1, 1]",-1246604,False,True,2
"[1, -7, -3, -2, -3]","[1, 1]",-697343,False,True,2
"[1, -7, 6, -1, -8]","[1, 1]",-1917999,False,True,2
"[1, -7, 6, 7, -2]","[1, 1]",341465,False,True,2
"[1, -7, 7, -6, -5]","[1, 1]",-1337863,False,True,2
"[1, -7, 7, -5, 6]","[1, 1]",-612908,False,True,2
"[1, -7, 7, -2, 5]","[1, 1]",-550111,False,True,2
"[1, -7, 8, -8, 2]","[1, 1]",-77548,False,True,2
"[1, -7, 8, -6, 8]","[1, 1]",-900944,False,True,2
"[1, -7, 8, -2, -2]","[1, 1]",-69516,False,True,2
"[1, -7, 8, 5, -4]","[0, 1, 1]",206329,False,True,2
"[1, -6, -7, 5, 3]","[0, 1, 1, 0]",557473,False,True,2
"[1, -6, -6, -8, -7]","[1, 1]",-2355376,False,True,2
"[1, -6, -5, -7, -5]","[1, 1]",-1124479,False,True,2
"[1, -6, -5, -5, 2]","[1, 1]",-740015,False,True,2
"[1, -5, -7, -2, -3]","[1, 1]",-450551,False,True,2
"[1, -5, -5, -7, -6]","[1, 1]",-990188,False,True,2
"[1, -5, -5, 8, 5]","[1, 1]",404033,False,True,2
"[1, -5, -4, -6, -4]","[1, 1]",-406688,False,True,2
"[1, -5, -4, -4, 2]","[1, 1]",-323500,False,True,2
"[1, -5, -3, -3, -4]","[1, 1]",-414508,False,True,2
"[1, -5, -3, 3, -2]","[1, 1]",-143852,False,True,2
"[1, -5, -2, -4, -4]","[1, 1]",-398128,False,True,2
"[1, -5, -2, -4, 2]","[1, 1]",-220684,False,True,2
"[1, -5, -2, -2, -2]","[1, 1]",-87628,False,True,2
"[1, -5, -1, 6, -7]","[1, 1]",-759647,False,True,2
"[1, -5, 0, -7, -2]","[1, 0, 1]",-318055,False,True,2
"[1, -5, 0, 6, 2]","[1, 1, 0]",19796,False,True,2
"[1, -5, 1, -7, -5]","[1, 1]",-802363,False,True,2
"[1, -5, 1, -5, -3]","[1, 1]",-265387,False,True,2
"[1, -5, 2, -3, -2]","[1, 1]",-83327,False,True,2
"[1, -5, 2, 3, 8]","[1, 1]",-393527,False,True,2
"[1, -5, 2, 4, 2]","[1, 1]",-28556,False,True,2
"[1, -5, 2, 6, 2]","[1, 1]",-5036,False,True,2
"[1, -5, 2, 8, -2]","[1, 1]",75348,False,True,2
"[1, -5, 2, 8, 2]","[0, 1, 1]",19796,False,True,2
"[1, -5, 3, -5, -2]","[1, 1]",-135648,False,True,2
"[1, -5, 3, -1, -6]","[1, 1]",-362336,False,True,2
"[1, -5, 3, 2, 3]","[1, 1]",-58703,False,True,2
"[1, -5, 4, -8, -2]","[1, 1]",-315436,False,True,2
"[1, -5, 4, -2, -4]","[1, 1]",-138848,False,True,2
"[1, -5, 4, -1, -2]","[1, 1]",-25447,False,True,2
"[1, -5, 4, 1, 8]","[1, 1]",-132527,False,True,2
"[1, -5, 4, 7, 2]","[1, 1, 0]",1825,False,True,2
"[1, -5, 5, -3, -2]","[1, 1]",-37040,False,True,2
"[1, -5, 5, -3, 4]","[1, 1]",-39788,False,True,2
"[1, -5, 6, -6, -2]","[1, 1]",-88556,False,True,2
"[1, -5, 6, -4, 6]","[1, 1]",-40748,False,True,2
"[1, -5, 6, 0, 2]","[0, 1, 1]",788,False,True,2
"[1, -3, 0, 4, 2]","[1, 1, 0]",788,False,True,2
"[1, -3, 1, -7, 4]","[1, 1]",-123088,False,True,2
"[1, -3, 1, -6, -7]","[1, 1]",-386431,False,True,2
"[1, -3, 1, -2, 5]","[1, 1]",-18959,False,True,2
"[1, -3, 1, 2, -8]","[1, 1]",-121324,False,True,2
"[1, -3, 1, 5, 2]","[1, 1]",1492,False,True,2
"[1, -3, 1, 7, -4]","[1, 1]",-24908,False,True,2
"[1, -3, 2, -6, 2]","[1, 1]",-30124,False,True,2
"[1, -3, 2, -2, 7]","[1, 1, 0]",32197,False,True,2
"[1, -3, 2, 2, 2]","[1, 1]",7572,False,True,2
"[1, -3, 2, 3, 6]","[1, 1]",123729,False,True,2
"[1, -3, 3, -1, 2]","[0, 1, 1]",1940,False,True,2
"[1, -3, 3, 3, -6]","[1, 1]",-12204,False,True,2
"[1, -3, 4, -6, 2]","[1, 1]",-5260,False,True,2
"[1, -3, 4, -2, 4]","[1, 1]",13472,False,True,2
"[1, -3, 4, 1, 6]","[1, 1]",135209,False,True,2
"[1, -3, 4, 6, 3]","[1, 1]",80085,False,True,2
"[1, -3, 5, -4, -8]","[1, 1]",-224528,False,True,2
"[1, -3, 5, 3, -2]","[1, 1]",-44208,False,True,2
"[1, -3, 5, 6, 5]","[1, 1]",320321,False,True,2
"[1, -3, 6, -8, 6]","[0, 1, 1]",4212,False,True,2
"[1, -3, 6, -7, 6]","[0, 1, 1]",3753,False,True,2
"[1, -3, 6, -4, 2]","[1, 1, 0]",1076,False,True,2
"[1, -3, 6, -4, 4]","[1, 1]",5584,False,True,2
"[1, -3, 6, -3, 2]","[0, 1, 1]",4001,False,True,2
"[1, -3, 6, 1, 2]","[1, 1]",46481,False,True,2
"[1, -3, 6, 4, -4]","[1, 1]",-188464,False,True,2
"[1, -3, 7, -7, -3]","[1, 1]",-98443,False,True,2
"[1, -3, 7, -7, 4]","[0, 1, 1]",1076,False,True,2
"[1, -3, 7, 0, -7]","[1, 1]",-240247,False,True,2
"[1, -3, 8, -5, 6]","[1, 1]",41209,False,True,2
"[1, -2, -8, -7, -5]","[1, 1]",-173491,False,True,2
"[1, -2, -8, -4, -3]","[1, 1]",-158384,False,True,2
"[1, -2, -8, -3, 4]","[1, 1]",-87979,False,True,2
"[1, -2, -8, 5, 7]","[1, 1]",323261,False,True,2
"[1, -2, -8, 8, -8]","[1, 1]",-1297408,False,True,2
"[1, -2, -8, 8, -7]","[1, 1]",-1012144,False,True,2
"[1, -2, -8, 8, -6]","[1, 1]",-757952,False,True,2
"[1, -2, -8, 8, -5]","[1, 1]",-533296,False,True,2
"[1, -2, -8, 8, -4]","[1, 1]",-336640,False,True,2
"[1, -2, -8, 8, -3]","[1, 1]",-166448,False,True,2
"[1, -2, -8, 8, -2]","[1, 1]",-21184,False,True,2
"[1, -2, -8, 8, 3]","[1, 1]",384976,False,True,2
"[1, -2, -8, 8, 5]","[1, 1]",426704,False,True,2
"[1, -2, -8, 8, 6]","[1, 1]",427840,False,True,2
"[1, -2, -7, 7, -6]","[1, 1]",-567239,False,True,2
"[1, -2, -7, 7, -5]","[1, 1]",-400143,False,True,2
"[1, -2, -7, 7, -4]","[1, 1]",-256823,False,True,2
"[1, -2, -7, 7, -2]","[1, 1]",-35367,False,True,2
"[1, -2, -7, 7, 3]","[0, 1, 1]",209713,False,True,2
"[1, -2, -7, 7, 4]","[1, 1]",218121,False,True,2
"[1, -2, -6, -3, 4]","[1, 1]",-152483,False,True,2
"[1, -2, -6, 6, -6]","[1, 1]",-415152,False,True,2
"[1, -2, -6, 6, -5]","[1, 1]",-291776,False,True,2
"[1, -2, -6, 6, -3]","[1, 1]",-103680,False,True,2
"[1, -2, -5, -3, 4]","[1, 1]",-144175,False,True,2
"[1, -2, -5, 5, -8]","[1, 1]",-536335,False,True,2
"[1, -2, -5, 5, -5]","[1, 1]",-207175,False,True,2
"[1, -2, -3, -7, -5]","[0, 1, 1]",-119191,False,True,2
"[1, -2, -3, -5, 4]","[1, 1]",-174231,False,True,2
"[1, 0, 5, -7, 6]","[1, 1]",122449,False,True,2
"[1, 0, 5, -1, -3]","[1, 1]",-68399,False,True,2
"[1, 0, 5, -1, 2]","[0, 1, 1]",10161,False,True,2
"[1, 0, 5, -1, 3]","[1, 1]",9745,False,True,2
"[1, 0, 5, -1, 5]","[0, 1, 1]",5073,False,True,2
"[1, 0, 5, -1, 6]","[1, 1]",3889,False,True,2
"[1, 0, 5, -1, 7]","[0, 1, 1, 0]",5521,False,True,2
"[1, 0, 5, -1, 8]","[1, 1]",11505,False,True,2
"[1, 0, 6, -7, 2]","[1, 1]",2597,False,True,2
"[1, 0, 6, -1, -3]","[1, 1]",-114075,False,True,2
"[1, 0, 6, -1, 2]","[1, 1]",25925,False,True,2
"[1, 0, 6, -1, 3]","[1, 1]",29349,False,True,2
"[1, 0, 6, -1, 4]","[1, 0, 1, 0]",28165,False,True,2
"[1, 0, 6, -1, 6]","[1, 1]",18117,False,True,2
"[1, 0, 6, -1, 7]","[1, 1]",12325,False,True,2
"[1, 0, 6, -1, 8]","[0, 1, 1, 0]",8069,False,True,2
"[1, 0, 7, -1, -4]","[1, 1]",-275831,False,True,2
"[1, 0, 7, -1, -2]","[1, 1]",-107383,False,True,2
"[1, 0, 7, -1, 2]","[1, 1]",54409,False,True,2
"[1, 0, 7, -1, 3]","[1, 1]",67337,False,True,2
"[1, 0, 7, -1, 4]","[1, 0, 1, 0]",72329,False,True,2
"[1, 0, 7, -1, 5]","[0, 1, 1]",70921,False,True,2
"[1, 0, 7, -1, 7]","[1, 1]",55049,False,True,2
"[1, 0, 7, -1, 8]","[1, 1]",43657,False,True,2
"[1, 0, 8, -8, 2]","[1, 1]",6144,False,True,2
"[1, 0, 8, -1, -6]","[1, 1]",-752411,False,True,2
"[1, 0, 8, -1, -4]","[1, 1]",-416283,False,True,2
"[1, 0, 8, -1, -3]","[1, 1]",-282779,False,True,2
"[1, 0, 8, -1, -2]","[1, 1]",-170267,False,True,2
"[1, 0, 8, -1, 2]","[1, 1]",100581,False,True,2
"[1, 0, 8, -1, 3]","[1, 1]",131173,False,True,2
"[1, 0, 8, -1, 4]","[1, 0, 1, 0]",149989,False,True,2
"[1, 0, 8, -1, 5]","[1, 1]",158565,False,True,2
"[1, 0, 8, -1, 6]","[1, 1]",158437,False,True,2
"[1, 0, 8, -1, 8]","[1, 1]",138213,False,True,2
"[1, 1, -8, -8, 4]","[1, 1]",133712,False,True,2
"[1, 1, -8, -4, 2]","[1, 1, 0]",144212,False,True,2
"[1, 1, -8, -2, 2]","[1, 1]",122260,False,True,2
"[1, 1, -7, -7, 2]","[1, 1]",64436,False,True,2
"[1, 1, -6, -3, -2]","[1, 1]",-58271,False,True,2
"[1, 1, -4, -8, -6]","[1, 1]",-17228,False,True,2
"[1, 1, -4, -2, -7]","[1, 1]",-230723,False,True,2
"[1, 1, -3, -7, -6]","[1, 1]",-16268,False,True,2
"[1, 1, -3, -7, -2]","[1, 1]",-13036,False,True,2
"[1, 1, -3, 8, -5]","[1, 1]",-79375,False,True,2
"[1, 1, -2, -1, -4]","[1, 1]",-27895,False,True,2
"[1, 1, -2, 6, -8]","[1, 1]",-200608,False,True,2
"[1, 1, -2, 6, -2]","[1, 1]",-27436,False,True,2
"[1, 1, -1, 8, 5]","[1, 1]",-187231,False,True,2
"[1, 1, 0, -4, 7]","[1, 1]",116789,False,True,2
"[1, 1, 0, 5, -4]","[1, 1]",-48951,False,True,2
"[1, 8, -7, 7, 2]","[1, 1]",-2884783,False,True,2
"[1, 8, -6, 6, -7]","[1, 1]",-6371248,False,True,2
"[1, 8, -5, 7, -7]","[1, 1]",-6233143,False,True,2
"[1, 8, -5, 7, 2]","[1, 1]",-2485111,False,True,2
"[1, 8, -4, -1, 3]","[1, 1]",-1121051,False,True,2
"[1, 8, -3, -5, 2]","[1, 1]",95121,False,True,2
"[1, 8, -2, -4, 2]","[1, 1]",-193280,False,True,2
"[1, 8, 0, 7, -7]","[1, 1]",-6669243,False,True,2
"[1, 8, 1, -7, 8]","[1, 1]",-5662127,False,True,2
"[1, 8, 2, 3, -5]","[1, 1]",-2736491,False,True,2
"[1, 8, 4, 8, -3]","[1, 1]",-2253568,False,True,2
"[1, 8, 5, 1, -3]","[1, 1]",-655647,False,True,2
"[1, -4, -7, -1, -8]","[1, 1]",-2338983,False,True,2
"[1, -4, -7, 3, -8]","[1, 1]",-2795159,False,True,2
"[1, -4, -7, 3, 2]","[0, 1, 1, 1]",175081,False,True,3
"[1, -4, -7, 7, 5]","[1, 1]",597497,False,True,2
"[1, -4, -6, 3, -5]","[1, 1]",-984731,False,True,2
"[1, -4, -6, 7, 4]","[1, 1]",404789,False,True,2
"[1, -4, -5, 7, 4]","[1, 1]",244193,False,True,2
"[1, -4, -4, -6, -5]","[1, 1]",-363824,False,True,2
"[1, -4, -4, 8, 2]","[1, 1]",240640,False,True,2
"[1, -4, -3, -7, 4]","[1, 1]",-792423,False,True,2
"[1, -4, -3, -5, -3]","[1, 1]",-120263,False,True,2
"[1, -4, -3, -3, 2]","[1, 1]",-121207,False,True,2
"[1, -4, -2, -2, -3]","[1, 1]",-108464,False,True,2
"[1, -4, -2, 1, 2]","[1, 1]",-34603,False,True,2
"[1, -4, -1, -3, -3]","[1, 1]",-103119,False,True,2
"[1, -4, 0, -3, -5]","[1, 1]",-267179,False,True,2
"[1, -4, 0, 7, -7]","[1, 1]",-107163,False,True,2
"[1, -4, 0, 7, -6]","[1, 1]",-59387,False,True,2
"[1, -4, 1, 5, -8]","[1, 1]",-157927,False,True,2
"[1, -4, 1, 5, -7]","[1, 1]",-104231,False,True,2
"[1, -4, 1, 5, -6]","[1, 1]",-63079,False,True,2
"[1, -4, 1, 5, 6]","[0, 1, 1, 0, 0]",11417,False,True,2
"[1, -4, 1, 5, 7]","[1, 1]",29273,False,True,2
"[1, -4, 1, 5, 8]","[1, 1]",56089,False,True,2
"[1, -4, 1, 7, 7]","[1, 1]",93401,False,True,2
"[1, -4, 1, 7, 8]","[1, 1]",142745,False,True,2
"[1, -4, 2, -8, 2]","[1, 1]",-159232,False,True,2
"[1, -4, 2, -7, 4]","[1, 1]",-151083,False,True,2
"[1, -4, 2, -5, -3]","[1, 1]",-125883,False,True,2
"[1, -4, 2, 3, -8]","[1, 1]",-149915,False,True,2
"[1, -4, 2, 3, -6]","[1, 1]",-63003,False,True,2
"[1, -4, 2, 3, 4]","[1, 1]",2917,False,True,2
"[1, -4, 2, 3, 6]","[1, 1]",28389,False,True,2
"[1, -4, 2, 3, 7]","[1, 1, 1, 0]",52645,False,True,3
"[1, -4, 2, 3, 8]","[1, 1]",86629,False,True,2
"[1, -4, 2, 5, 7]","[1, 1]",131877,False,True,2
"[1, -4, 2, 5, 8]","[1, 1]",189925,False,True,2
"[1, -4, 3, -7, 4]","[1, 1]",-84591,False,True,2
"[1, -4, 3, 1, 4]","[1, 1, 0]",7601,False,True,2
"[1, -4, 3, 1, 5]","[1, 1]",19089,False,True,2
"[1, -4, 3, 1, 6]","[1, 1, 0]",37489,False,True,2
"[1, -4, 3, 1, 7]","[0, 1, 1]",64337,False,True,2
"[1, -4, 3, 3, 7]","[1, 1, 0]",149521,False,True,2
"[1, -4, 3, 3, 8]","[1, 1]",210929,False,True,2
"[1, -4, 4, -8, 2]","[1, 1]",-62464,False,True,2
"[1, -4, 4, -1, -8]","[1, 1]",-163579,False,True,2
"[1, -4, 4, -1, -4]","[1, 1]",-24443,False,True,2
"[1, -4, 4, -1, 5]","[1, 1]",19045,False,True,2
"[1, -4, 4, -1, 6]","[1, 1]",36677,False,True,2
"[1, -4, 4, -1, 7]","[1, 1]",62501,False,True,2
"[1, -4, 4, -1, 8]","[1, 1]",98053,False,True,2
"[1, -4, 4, 1, 7]","[1, 1, 1, 0]",144869,False,True,3
"[1, -4, 4, 1, 8]","[1, 1]",204485,False,True,2
"[1, -4, 4, 7, 2]","[1, 1]",2981,False,True,2
"[1, -4, 5, -3, -6]","[1, 1]",-93207,False,True,2
"[1, -4, 5, -3, -5]","[1, 1]",-59159,False,True,2
"[1, -4, 5, -3, -4]","[1, 1]",-34583,False,True,2
"[1, -4, 5, -3, 4]","[1, 1, 0]",5353,False,True,2
"[1, -4, 5, -3, 5]","[1, 1, 1, 0]",13801,False,True,3
"[1, -4, 5, -3, 6]","[1, 1]",28137,False,True,2
"[1, -4, 5, -3, 7]","[1, 1]",49897,False,True,2
"[1, -4, 5, -3, 8]","[1, 1]",80617,False,True,2
